0,Entity,Order
1,Entity,Sequence
2,Entity,Product
3,Entity,LineItem
4,Entity,Category
5,Entity,CartItem
6,Entity,Account
7,Entity,Cart
8,Entity,Item
9,Method,getCategoryList,CategoryMapper
10,Method,getCategory,CategoryMapper
11,Method,getLineItemsByOrderId,LineItemMapper
12,Method,insertLineItem,LineItemMapper
13,Method,updateInventoryQuantity,ItemMapper
14,Method,getInventoryQuantity,ItemMapper
15,Method,getItemListByProduct,ItemMapper
16,Method,getItem,ItemMapper
17,Method,getOrdersByUsername,OrderMapper
18,Method,getOrder,OrderMapper
19,Method,insertOrder,OrderMapper
20,Method,insertOrderStatus,OrderMapper
21,Method,getAccountByUsername,AccountMapper
22,Method,getAccountByUsernameAndPassword,AccountMapper
23,Method,insertAccount,AccountMapper
24,Method,insertProfile,AccountMapper
25,Method,insertSignon,AccountMapper
26,Method,updateAccount,AccountMapper
27,Method,updateProfile,AccountMapper
28,Method,updateSignon,AccountMapper
29,Method,getSequence,SequenceMapper
30,Method,updateSequence,SequenceMapper
31,Method,getProductListByCategory,ProductMapper
32,Method,getProduct,ProductMapper
33,Method,searchProductList,ProductMapper
34,Method,getCart,CartActionBean
35,Method,setCart,CartActionBean
36,Method,setWorkingItemId,CartActionBean
37,Method,addItemToCart,CartActionBean
38,Method,removeItemFromCart,CartActionBean
39,Method,updateCartQuantities,CartActionBean
40,Method,viewCart,CartActionBean
41,Method,checkOut,CartActionBean
42,Method,clear,CartActionBean
43,Method,getOrderId,OrderActionBean
44,Method,setOrderId,OrderActionBean
45,Method,getOrder,OrderActionBean
46,Method,setOrder,OrderActionBean
47,Method,isShippingAddressRequired,OrderActionBean
48,Method,setShippingAddressRequired,OrderActionBean
49,Method,isConfirmed,OrderActionBean
50,Method,setConfirmed,OrderActionBean
51,Method,getCreditCardTypes,OrderActionBean
52,Method,getOrderList,OrderActionBean
53,Method,listOrders,OrderActionBean
54,Method,newOrderForm,OrderActionBean
55,Method,newOrder,OrderActionBean
56,Method,viewOrder,OrderActionBean
57,Method,clear,OrderActionBean
58,Method,setMessage,AbstractActionBean
59,Method,getContext,AbstractActionBean
60,Method,setContext,AbstractActionBean
61,Method,getKeyword,CatalogActionBean
62,Method,setKeyword,CatalogActionBean
63,Method,getCategoryId,CatalogActionBean
64,Method,setCategoryId,CatalogActionBean
65,Method,getProductId,CatalogActionBean
66,Method,setProductId,CatalogActionBean
67,Method,getItemId,CatalogActionBean
68,Method,setItemId,CatalogActionBean
69,Method,getCategory,CatalogActionBean
70,Method,setCategory,CatalogActionBean
71,Method,getProduct,CatalogActionBean
72,Method,setProduct,CatalogActionBean
73,Method,getItem,CatalogActionBean
74,Method,setItem,CatalogActionBean
75,Method,getCategoryList,CatalogActionBean
76,Method,setCategoryList,CatalogActionBean
77,Method,getProductList,CatalogActionBean
78,Method,setProductList,CatalogActionBean
79,Method,getItemList,CatalogActionBean
80,Method,setItemList,CatalogActionBean
81,Method,viewMain,CatalogActionBean
82,Method,viewCategory,CatalogActionBean
83,Method,viewProduct,CatalogActionBean
84,Method,viewItem,CatalogActionBean
85,Method,searchProducts,CatalogActionBean
86,Method,clear,CatalogActionBean
87,Method,getAccount,AccountActionBean
88,Method,getUsername,AccountActionBean
89,Method,setUsername,AccountActionBean
90,Method,getPassword,AccountActionBean
91,Method,setPassword,AccountActionBean
92,Method,getMyList,AccountActionBean
93,Method,setMyList,AccountActionBean
94,Method,getLanguages,AccountActionBean
95,Method,getCategories,AccountActionBean
96,Method,newAccountForm,AccountActionBean
97,Method,newAccount,AccountActionBean
98,Method,editAccountForm,AccountActionBean
99,Method,editAccount,AccountActionBean
100,Method,signonForm,AccountActionBean
101,Method,signon,AccountActionBean
102,Method,signoff,AccountActionBean
103,Method,isAuthenticated,AccountActionBean
104,Method,clear,AccountActionBean
105,Method,getAccount,AccountService
106,Method,insertAccount,AccountService
107,Method,updateAccount,AccountService
108,Method,insertOrder,OrderService
109,Method,getOrder,OrderService
110,Method,getOrdersByUsername,OrderService
111,Method,getNextId,OrderService
112,Method,getCategoryList,CatalogService
113,Method,getCategory,CatalogService
114,Method,getProduct,CatalogService
115,Method,getProductListByCategory,CatalogService
116,Method,searchProductList,CatalogService
117,Method,getItemListByProduct,CatalogService
118,Method,getItem,CatalogService
119,Method,isItemInStock,CatalogService
